Tweet Content,Date,User,Source,Tweet ID,Tweet URL
@Willian_Snow Flamengo e unifacisa vem quente dmais,2020-07-13 23:59:52,KewinMuniz,Twitter for Android,1282827115780608002,https://twitter.com/statuses/1282827115780608002
"@RicardoPF ele como técnico é horrível, ele é ruim mesmo. #Flamengo",2020-07-13 23:59:40,vellez,Twitter for Android,1282827062185787392,https://twitter.com/statuses/1282827062185787392
@ArthurRealista Vc estar vivo é a prova q flamengo é seleção,2020-07-13 23:59:37,FrioOrochi,Twitter for iPhone,1282827050508836865,https://twitter.com/statuses/1282827050508836865
"Tendo em vista a iminente saída de Jesus,acho que deveríamos ir atrás de um cara experiente,com títulos na bagagem e que fale a língua dos jogadores. Dito isso, acredito que Renato Gaúcho tenha que se foder pra lá pq o Flamengo não é bagunça...",2020-07-13 23:59:37,Flamemguista81,Twitter for Android,1282827050198413317,https://twitter.com/statuses/1282827050198413317
@alexCRFla Guardiola tbm é  🤣🤣🤣 não  dispensaria o Guardiola no Flamengo,2020-07-13 23:59:28,ewertonshingo,Twitter Web App,1282827014655873030,https://twitter.com/statuses/1282827014655873030
"mano, eu não aceito o Renato Gaúcho no Flamengo, contrata outro europeu, e fim.",2020-07-13 23:59:27,theusturl,Twitter for iPhone,1282827008897097728,https://twitter.com/statuses/1282827008897097728
"foram feitos um pro outro :

EU E FLAMENGO 

FLAMENGO E EU",2020-07-13 23:59:22,Anaa_Olive,Twitter for Android,1282826988303114242,https://twitter.com/statuses/1282826988303114242
Esse time do flamengo tá me deixando preocupado!!,2020-07-13 23:59:17,Jeeframos7,Twitter for Android,1282826968124334081,https://twitter.com/statuses/1282826968124334081
"@maurocezar Não vejo como precipitada!!,alguém deveria fazer e coube ao Flamengo ser pioneiro,se não aproveitasse a oportunidade no carioca falido,não teria outra!!esperar clubes que adiantam as cotas de campeonatos futuros,ficaríamos nesse mesmo monopólio!!",2020-07-13 23:59:17,Felipejfsantos1,Twitter for Android,1282826966266241026,https://twitter.com/statuses/1282826966266241026
"@StewieCRF O Flamengo de 2019 Não é trabalho de 1 homem só, não vale nada o João de Deus ficar e JJ levar os outros 5 caras da equipe com ele.",2020-07-13 23:59:16,andre_arraes,Twitter for iPhone,1282826961539215365,https://twitter.com/statuses/1282826961539215365
