Tweet Content,Date,User,Source,Tweet ID,Tweet URL
quando essa quarentena acabar vai da só “a gente não tá mais dando certo” caixinha de pergunta no insta pai tá on kkkk briga de foice no escuro 😂😂 kero assisti de camarote,2020-07-13 23:59:59,laoanagabrieli,Twitter for iPhone,1282827144935157760,https://twitter.com/statuses/1282827144935157760
de saco cheio dessa quarentena,2020-07-13 23:59:59,wishinganchors,Twitter for iPhone,1282827143316217857,https://twitter.com/statuses/1282827143316217857
pra vocês a quarentena acabou?,2020-07-13 23:59:59,rockrbae,Twitter for iPhone,1282827142322163712,https://twitter.com/statuses/1282827142322163712
gabbie fadel melhor youtuber dessa quarentena e quem discorda quem discorde em casa,2020-07-13 23:59:57,oidieggo,Twitter Web App,1282827136206876673,https://twitter.com/statuses/1282827136206876673
coragem de expor quem tava furando a quarentena nego tinha mas aí pesa pro lado dele e ele se faz de vítima? feio em meu filho,2020-07-13 23:59:56,gasparzinhho,Twitter for iPhone,1282827133006602246,https://twitter.com/statuses/1282827133006602246
@EOiticica Comecei na quarentena tô aqui na luta do cronograma,2020-07-13 23:59:55,CarvalhoLuans,Twitter for Android,1282827126815764487,https://twitter.com/statuses/1282827126815764487
"Ja compararam o caso do Cazares e do Guga falando sobre racismo
O Dylan Borrero tbm furou quarentena e não teve muita gente xingando tbm..Mas com o Cazares e racismo",2020-07-13 23:59:54,geandersontn,Twitter Web App,1282827121463894016,https://twitter.com/statuses/1282827121463894016
"Quarentena me obriga a limpar a casa todo dia, to tão sistemática com limpeza que vejo 1 manchinha no chão vou logo passar um pano pra limpar kkkkkkk",2020-07-13 23:59:53,uedayday,Twitter for Android,1282827119609946113,https://twitter.com/statuses/1282827119609946113
"Por causa disso que estamos nessa merda ainda, ninguem respeita a quarentena e daqui pra frente a tendência é piorar se n mudarem a mentalidade. Boa ai rapaziada...",2020-07-13 23:59:53,Carvalho__08,Twitter for Android,1282827119379218433,https://twitter.com/statuses/1282827119379218433
compulsivas por compras on-line pra preencher o vazio na quarentena .com,2020-07-13 23:59:53,mdfndi,Twitter for iPhone,1282827117751947269,https://twitter.com/statuses/1282827117751947269
"J.A- a gente conversou um pouco acabei que deixando no vácuo sem querer kkkkkkkkkk mas vc eh gente boa, dps da quarentena vamo marcar um rolê e encher a cara",2020-07-13 23:59:53,xmenessg,Twitter for Android,1282827117588291584,https://twitter.com/statuses/1282827117588291584
"Ai quarentena pra que fazer eu sentir esse tesão acumulado, fala pra mim",2020-07-13 23:59:53,1amandabarbosa,Twitter for iPhone,1282827116556488704,https://twitter.com/statuses/1282827116556488704
novamente me sentindo a única palhaça que ta respeitando a quarentena 🤡,2020-07-13 23:59:52,manu_rotella,Twitter for iPhone,1282827114572546049,https://twitter.com/statuses/1282827114572546049
qual a primeira coisa legal q vc vai fazer quando a quarentena acabar? — espero q jogar fodinha e um role de pizza barata e bebida https://t.co/Xs6AD3jBqF,2020-07-13 23:59:51,siscartt,Twitter Web App,1282827111150096384,https://twitter.com/statuses/1282827111150096384
"oi @emiguel2nd minha dm não tá funcionando mas sobre a pergunta que você fez com MUITA urgência, vim responder aqui.... acho que faz mal sim enfiar o controle da televisão no cu. sei que pode parecer tentador, mas pode te machucar, amigo. aguenta firme, quarentena logo acaba.",2020-07-13 23:59:50,NekomonoAllpaca,Twitter Web App,1282827104380497921,https://twitter.com/statuses/1282827104380497921
"Pós quarentena vcs vao me encontrar de piericng, cabelo descolorido e com mais 4 tatuagens",2020-07-13 23:59:46,gabrielsaraivab,Twitter for Android,1282827090585321474,https://twitter.com/statuses/1282827090585321474
"Agora que descobriram a vacina, pós quarentena minha social sai crlhhh 🤩🔥",2020-07-13 23:59:46,BryanSo23365222,Twitter for iPhone,1282827090354724864,https://twitter.com/statuses/1282827090354724864
"enquanto tem genti que tá surtando e cortando o cabelo na quarentena, eu tô surtando e deixando crescer again kkk",2020-07-13 23:59:45,monmatts,Twitter for Android,1282827087049564163,https://twitter.com/statuses/1282827087049564163
olha n que eu seja exemplo de quarentena mas é muita falta de respeito,2020-07-13 23:59:40,steesegantini,Twitter for iPhone,1282827064824016896,https://twitter.com/statuses/1282827064824016896
o subplot da infecção das cordas vocais no metal gear 5 bate bem diferente com a gente numa quarentena,2020-07-13 23:59:40,juliafcandida,Twitter for Android,1282827062110236683,https://twitter.com/statuses/1282827062110236683
Maior raiva dessa quarentena é os aniversário q tô perdendo só quem é gordo vai me entender,2020-07-13 23:59:39,DogComunista7,Twitter for Android,1282827058406719488,https://twitter.com/statuses/1282827058406719488
"quarentena dia 15656: segunda-feira, dia de recomeçar, nasce uma nova oportunidade. acredita que vai dar tudo certo que se não der, a gnt já tá acostumado mesmo. #pas",2020-07-13 23:59:38,eueduguerra,Twitter for iPhone,1282827056892514304,https://twitter.com/statuses/1282827056892514304
"sejam sinceros, vcs já furaram a quarentena para ficar com alguém??",2020-07-13 23:59:38,taylrraswift,Twitter Web App,1282827056573808643,https://twitter.com/statuses/1282827056573808643
Sonho ir nessa farofa da gkay pós quarentena kkkkkk https://t.co/W2msqA9KVc,2020-07-13 23:59:38,nathaliarosass,Twitter for iPhone,1282827056116572164,https://twitter.com/statuses/1282827056116572164
segundo recipiente de vidro que quebro nessa quarentena ô inferno,2020-07-13 23:59:37,huhuless,Twitter for Android,1282827053176430594,https://twitter.com/statuses/1282827053176430594
Filhas de Iansã na quarentena https://t.co/hSHAKzNMEr,2020-07-13 23:59:36,filhodamataofc,Twitter for iPhone,1282827049355411461,https://twitter.com/statuses/1282827049355411461
"quero hit naja feat ema agora

duas ícones se juntando pra estrear no topo dos charts da quarentena https://t.co/z30avpFS2x",2020-07-13 23:59:36,jiaaao,Twitter Web App,1282827047660851202,https://twitter.com/statuses/1282827047660851202
Comprei um tanto de roupa nessa quarentena sendo que nem lugar pra ir tá tendo,2020-07-13 23:59:36,juliacoutto_,Twitter for iPhone,1282827045928611842,https://twitter.com/statuses/1282827045928611842
"não vejo a hora dessa quarentena acabar, eu só queria ir viajar",2020-07-13 23:59:35,camilla_alves06,Twitter for iPhone,1282827042753581059,https://twitter.com/statuses/1282827042753581059
só me deu vontade de namorar na quarentena pq antes dela eu n qria ter laço de maneira nenhuma,2020-07-13 23:59:34,lopsx7,Twitter for iPhone,1282827040266301442,https://twitter.com/statuses/1282827040266301442
"Se alguém reclamar que estão escolhendo quem vive e quem morre ou pelo simples fato do comércio fechar de novo e pipipi, vou mandar tomar no cu, pq é tudo culpa de vocês mesmo que não respeitam a quarentena e o uso da porra da máscara na porra da cara https://t.co/hSA2mvYS29",2020-07-13 23:59:34,kellyaaw_,Twitter for iPhone,1282827037196128258,https://twitter.com/statuses/1282827037196128258
@jujumfrancoo já tá decorado p próxima festa pós quarentena tb tá 😚,2020-07-13 23:59:31,biaarissato,Twitter for iPhone,1282827028379639808,https://twitter.com/statuses/1282827028379639808
Como que essa gente consegue começar um relacionamento durante a quarentena? Eu nem consegui manter ele interessado em mim,2020-07-13 23:59:31,cfcarrega,Twitter for Android,1282827028153204738,https://twitter.com/statuses/1282827028153204738
se um dia eu achei q a quarentena ta acabando com minha estabilidade emocional eu peço desculpas,2020-07-13 23:59:29,alisssssao,Twitter for Android,1282827018330136583,https://twitter.com/statuses/1282827018330136583
"so queria aquelas brincadeiras q tava tendo no tt no começo da quarentena, virava a noite so na curiosidade",2020-07-13 23:59:29,anakkjl,Twitter for iPhone,1282827016912490496,https://twitter.com/statuses/1282827016912490496
Nessa quarentena só sinto duas coisas: vontade e morrer e vontade de fuder🤡,2020-07-13 23:59:28,Ronald__Santo,Twitter for Android,1282827015280885766,https://twitter.com/statuses/1282827015280885766
